algo,k%,threads,time(ms),rep
Naive,10,1,921061,0
SeqPriority,10,1,607819
ParPriority,10,1,453016,0
SeqPermutation,10,1,155042,0
ParPermutation,10,1,446072,0
ParPermutationFull,10,1,3489524,0
Naive,10,1,1036771,1
SeqPriority,10,1,393033
ParPriority,10,1,473065,1
SeqPermutation,10,1,153582,1
ParPermutation,10,1,436082,1
ParPermutationFull,10,1,3447490,1
Naive,10,1,1027280,2
SeqPriority,10,1,439543
ParPriority,10,1,471471,2
SeqPermutation,10,1,153536,2
ParPermutation,10,1,436856,2
ParPermutationFull,10,1,3440401,2
Naive,10,1,994808,3
SeqPriority,10,1,492359
ParPriority,10,1,462618,3
SeqPermutation,10,1,153020,3
ParPermutation,10,1,435900,3
ParPermutationFull,10,1,3449793,3
Naive,10,1,993005,4
SeqPriority,10,1,414409
ParPriority,10,1,474080,4
SeqPermutation,10,1,153014,4
ParPermutation,10,1,437734,4
ParPermutationFull,10,1,3440957,4
Naive,25,1,2891652,0
SeqPriority,25,1,508504
ParPriority,25,1,489429,0
SeqPermutation,25,1,172038,0
ParPermutation,25,1,910108,0
ParPermutationFull,25,1,3435475,0
Naive,25,1,2896204,1
SeqPriority,25,1,490729
ParPriority,25,1,487239,1
SeqPermutation,25,1,173768,1
ParPermutation,25,1,911187,1
ParPermutationFull,25,1,3428025,1
Naive,25,1,2895182,2
SeqPriority,25,1,480352
ParPriority,25,1,489570,2
SeqPermutation,25,1,172758,2
ParPermutation,25,1,913602,2
ParPermutationFull,25,1,3431920,2
Naive,25,1,2854167,3
SeqPriority,25,1,440595
ParPriority,25,1,463377,3
SeqPermutation,25,1,173631,3
ParPermutation,25,1,908931,3
ParPermutationFull,25,1,3427136,3
Naive,25,1,2865869,4
SeqPriority,25,1,525775
ParPriority,25,1,490996,4
SeqPermutation,25,1,172160,4
ParPermutation,25,1,909803,4
ParPermutationFull,25,1,3423891,4
Naive,50,1,6159834,0
SeqPriority,50,1,556309
ParPriority,50,1,527353,0
SeqPermutation,50,1,193665,0
ParPermutation,50,1,1769129,0
ParPermutationFull,50,1,3463390,0
Naive,50,1,6085468,1
SeqPriority,50,1,545499
ParPriority,50,1,520880,1
SeqPermutation,50,1,207285,1
ParPermutation,50,1,1764171,1
ParPermutationFull,50,1,3460201,1
Naive,50,1,6082387,2
SeqPriority,50,1,567664
ParPriority,50,1,524467,2
SeqPermutation,50,1,210187,2
ParPermutation,50,1,1761399,2
ParPermutationFull,50,1,3458485,2
Naive,50,1,6071009,3
SeqPriority,50,1,576355
ParPriority,50,1,526929,3
SeqPermutation,50,1,207169,3
ParPermutation,50,1,1766548,3
ParPermutationFull,50,1,3461085,3
Naive,50,1,6004694,4
SeqPriority,50,1,564682
ParPriority,50,1,521699,4
SeqPermutation,50,1,208958,4
ParPermutation,50,1,1741970,4
ParPermutationFull,50,1,3450655,4
Naive,75,1,8731654,0
SeqPriority,75,1,516289
ParPriority,75,1,487507,0
SeqPermutation,75,1,245876,0
ParPermutation,75,1,2640459,0
ParPermutationFull,75,1,3475167,0
Naive,75,1,8754040,1
SeqPriority,75,1,500672
ParPriority,75,1,510305,1
SeqPermutation,75,1,247785,1
ParPermutation,75,1,2638703,1
ParPermutationFull,75,1,3475464,1
Naive,75,1,8698885,2
SeqPriority,75,1,501600
ParPriority,75,1,494727,2
SeqPermutation,75,1,224712,2
ParPermutation,75,1,2616963,2
ParPermutationFull,75,1,3451433,2
Naive,75,1,8618335,3
SeqPriority,75,1,540029
ParPriority,75,1,484626,3
SeqPermutation,75,1,224415,3
ParPermutation,75,1,2616172,3
ParPermutationFull,75,1,3454435,3
Naive,75,1,8562368,4
SeqPriority,75,1,465456
ParPriority,75,1,478685,4
SeqPermutation,75,1,225810,4
ParPermutation,75,1,2621357,4
ParPermutationFull,75,1,3468841,4
Naive,90,1,12080578,0
SeqPriority,90,1,494148
ParPriority,90,1,494824,0
SeqPermutation,90,1,250280,0
ParPermutation,90,1,3135083,0
ParPermutationFull,90,1,3454129,0
Naive,90,1,12088825,1
SeqPriority,90,1,460158
ParPriority,90,1,466607,1
SeqPermutation,90,1,251188,1
ParPermutation,90,1,3160373,1
ParPermutationFull,90,1,3480467,1
Naive,90,1,11968981,2
SeqPriority,90,1,445705
ParPriority,90,1,470634,2
SeqPermutation,90,1,235098,2
ParPermutation,90,1,3136836,2
ParPermutationFull,90,1,3455605,2
Naive,90,1,11631642,3
SeqPriority,90,1,423093
ParPriority,90,1,456491,3
SeqPermutation,90,1,236626,3
ParPermutation,90,1,3134126,3
ParPermutationFull,90,1,3453161,3
Naive,90,1,11617936,4
SeqPriority,90,1,471472
ParPriority,90,1,480572,4
SeqPermutation,90,1,234913,4
ParPermutation,90,1,3138706,4
ParPermutationFull,90,1,3457301,4
